,question,context,answer
2105,How many paper towels are used?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
2106,How many actions does it take to process the paprika?,"cut # tool : knife 1.1.1 # slice from top of each tomato # part : cut # . remove # shadow : tomato 1.1.7 # pulp ; reserve # drop : pulp 1.2.2 # . sprinkle tomato # part : sprinkle # shells with salt # part : sprinkle # and black # part : sprinkle # pepper ; turn # drop : tomato 1.3.2 # upside down on paper # part : turn # towel to drain # drop : tomato 1.3.2, habitat : paper towel 1.3.14 # . place tomatoes # part : place # in greased # shadow : oil 2.1.4, tool : large baking dish 2.1.5 # large # part : place # baking dish ; place # tool : large baking dish 2.1.5 # dish # part : place # in pan # part : place # filled # drop : pan 2.1.12 # with 1/2-inch hot # part : filled # water . bake # habitat : large baking dish 2.1.5 # at 375 degrees 20 to 25 minutes . cook # result : mixture 7.1.4, habitat : stove 4.1.1 # onion # part : cook # and green # part : cook # pepper in butter # part : cook # in large # part : cook # skillet over medium heat until tender . stir # drop : mixture 7.1.4, tool : spatula 5.1.1, habitat : large skillet 4.1.9 # in rice # part : stir # , corn # part : stir # , tomato # part : stir # pulp , mushrooms # part : stir # , remaining 1 teaspoon salt # part : stir # , and remaining 1/4 teaspoon black # part : stir # pepper ; heat # drop : mixture 7.1.4, habitat : large skillet 4.1.9 # thoroughly . add # habitat : large skillet 4.1.9 # 1/4 cup cheese # part : add # . spoon # drop : mixture 7.1.4, tool : spoon 7.1.1 # into tomato shells . top # drop : tomato 1.3.2 # with remaining 1/4 cup cheese ; sprinkle with paprika # part : sprinkle # . spoon # tool : spoon 7.1.1 # any leftover mixture # part : spoon # in baking # part : spoon # pan and bake # habitat : pan 2.1.12 # with tomatoes # part : bake # . serve tomatoes # part : serve # surrounded # drop : tomato 1.3.2 # by extra # part : surrounded # mixture . ",1
2107,How many actions does it take to process the spice?,"preheat oven # part : preheat # to 350 degrees f. line two baking # part : line # sheets with parchment # part : line # paper . in the bowl # part : combine # of your stand mixer , combine # result : dry mixture 2.1.9 # sugar # part : combine # cookie mix , crushed # part : combine # nuts , and spices # part : combine # . add # drop : dry mixture 2.1.9 # butter # part : add # , almond # part : add # flavoring , and vanilla # part : add # . scoop # tool : spoon 3.1.1 # about a teaspoon of cookie # part : scoop # batter and flatten # drop : cookie batter 3.1.6 # onto cookie # part : flatten # sheets . you should get about 2 dozen cookies . bake # drop : cookie batter 3.1.6, habitat : oven 1.1.2 # for about 8 - 10 minutes or until edges are just slightly golden . let cookies # part : sit # sit for a few minutes on cookie # part : sit # sheet before transferring # drop : cookie batter 3.1.6 # them to a wire # part : transferring # rack . ( they will be very soft and will tear apart if you do n't let them rest # drop : cookie batter 3.1.6, habitat : baking sheets 1.1.9 # first ) . once slightly cool # drop : cookie batter 3.1.6 # , roll each cookie # part : roll # in confectioner # part : roll # 's sugar and enjoy ! ",1
2108,How many ovens are used?,"preheat oven # part : preheat # to 350 degrees f. line two baking # part : line # sheets with parchment # part : line # paper . in the bowl # part : combine # of your stand mixer , combine # result : dry mixture 2.1.9 # sugar # part : combine # cookie mix , crushed # part : combine # nuts , and spices # part : combine # . add # drop : dry mixture 2.1.9 # butter # part : add # , almond # part : add # flavoring , and vanilla # part : add # . scoop # tool : spoon 3.1.1 # about a teaspoon of cookie # part : scoop # batter and flatten # drop : cookie batter 3.1.6 # onto cookie # part : flatten # sheets . you should get about 2 dozen cookies . bake # drop : cookie batter 3.1.6, habitat : oven 1.1.2 # for about 8 - 10 minutes or until edges are just slightly golden . let cookies # part : sit # sit for a few minutes on cookie # part : sit # sheet before transferring # drop : cookie batter 3.1.6 # them to a wire # part : transferring # rack . ( they will be very soft and will tear apart if you do n't let them rest # drop : cookie batter 3.1.6, habitat : baking sheets 1.1.9 # first ) . once slightly cool # drop : cookie batter 3.1.6 # , roll each cookie # part : roll # in confectioner # part : roll # 's sugar and enjoy ! ",1
2109,How many actions does it take to process the almond flavoring?,"preheat oven # part : preheat # to 350 degrees f. line two baking # part : line # sheets with parchment # part : line # paper . in the bowl # part : combine # of your stand mixer , combine # result : dry mixture 2.1.9 # sugar # part : combine # cookie mix , crushed # part : combine # nuts , and spices # part : combine # . add # drop : dry mixture 2.1.9 # butter # part : add # , almond # part : add # flavoring , and vanilla # part : add # . scoop # tool : spoon 3.1.1 # about a teaspoon of cookie # part : scoop # batter and flatten # drop : cookie batter 3.1.6 # onto cookie # part : flatten # sheets . you should get about 2 dozen cookies . bake # drop : cookie batter 3.1.6, habitat : oven 1.1.2 # for about 8 - 10 minutes or until edges are just slightly golden . let cookies # part : sit # sit for a few minutes on cookie # part : sit # sheet before transferring # drop : cookie batter 3.1.6 # them to a wire # part : transferring # rack . ( they will be very soft and will tear apart if you do n't let them rest # drop : cookie batter 3.1.6, habitat : baking sheets 1.1.9 # first ) . once slightly cool # drop : cookie batter 3.1.6 # , roll each cookie # part : roll # in confectioner # part : roll # 's sugar and enjoy ! ",1
2110,How many parchment papers are used?,"preheat oven # part : preheat # to 350 degrees f. line two baking # part : line # sheets with parchment # part : line # paper . in the bowl # part : combine # of your stand mixer , combine # result : dry mixture 2.1.9 # sugar # part : combine # cookie mix , crushed # part : combine # nuts , and spices # part : combine # . add # drop : dry mixture 2.1.9 # butter # part : add # , almond # part : add # flavoring , and vanilla # part : add # . scoop # tool : spoon 3.1.1 # about a teaspoon of cookie # part : scoop # batter and flatten # drop : cookie batter 3.1.6 # onto cookie # part : flatten # sheets . you should get about 2 dozen cookies . bake # drop : cookie batter 3.1.6, habitat : oven 1.1.2 # for about 8 - 10 minutes or until edges are just slightly golden . let cookies # part : sit # sit for a few minutes on cookie # part : sit # sheet before transferring # drop : cookie batter 3.1.6 # them to a wire # part : transferring # rack . ( they will be very soft and will tear apart if you do n't let them rest # drop : cookie batter 3.1.6, habitat : baking sheets 1.1.9 # first ) . once slightly cool # drop : cookie batter 3.1.6 # , roll each cookie # part : roll # in confectioner # part : roll # 's sugar and enjoy ! ",1
2111,How many large bowls are used?,"preheat the oven # part : preheat # to 375 degf. in a large # part : combine # bowl , combine the sugar # part : combine # , flour # part : combine # , cinnamon # part : combine # and nutmeg # part : combine # ; mix # drop : sugar 2.1.8 flour 2.1.10 cinnamon 2.1.12 nutmeg 2.1.14, result : mixture 2.1.16, tool : whisk 2.1.16, habitat : large bowl 2.1.3 # well , . add # drop : mixture 2.1.16, habitat : large bowl 2.1.3 # the apples # part : add # and toss # drop : apples 3.1.3 mixture 2.1.16, habitat : large bowl 2.1.3 # to coat # drop : apples 3.1.3, result : apple mixture 3.1.7, habitat : large bowl 2.1.3 # completely . pour the apple # part : pour # mixture into a 9 # part : pour # inch pie plate . combine # tool : mixer 5.1.1, habitat : bowl 5.1.1 # the butter # part : combine # and vanilla # part : combine # and pour # drop : butter 5.1.3 vanilla 5.1.5, habitat : inch pie plate 4.1.7 # over the apples # part : pour # , cover # habitat : inch pie plate 4.1.7 # the apples # part : pour # with the pie # part : cover # crust . spray the crust # part : spray # with non # part : spray # - stick cooking spray and bake # drop : apple mixture 3.1.7, habitat : oven 1.1.3 # for 50 - 55 minutes . ",1
2112,How many actions does it take to process the cinnamon?,"preheat the oven # part : preheat # to 375 degf. in a large # part : combine # bowl , combine the sugar # part : combine # , flour # part : combine # , cinnamon # part : combine # and nutmeg # part : combine # ; mix # drop : sugar 2.1.8 flour 2.1.10 cinnamon 2.1.12 nutmeg 2.1.14, result : mixture 2.1.16, tool : whisk 2.1.16, habitat : large bowl 2.1.3 # well , . add # drop : mixture 2.1.16, habitat : large bowl 2.1.3 # the apples # part : add # and toss # drop : apples 3.1.3 mixture 2.1.16, habitat : large bowl 2.1.3 # to coat # drop : apples 3.1.3, result : apple mixture 3.1.7, habitat : large bowl 2.1.3 # completely . pour the apple # part : pour # mixture into a 9 # part : pour # inch pie plate . combine # tool : mixer 5.1.1, habitat : bowl 5.1.1 # the butter # part : combine # and vanilla # part : combine # and pour # drop : butter 5.1.3 vanilla 5.1.5, habitat : inch pie plate 4.1.7 # over the apples # part : pour # , cover # habitat : inch pie plate 4.1.7 # the apples # part : pour # with the pie # part : cover # crust . spray the crust # part : spray # with non # part : spray # - stick cooking spray and bake # drop : apple mixture 3.1.7, habitat : oven 1.1.3 # for 50 - 55 minutes . ",2
2113,How many mixers are used?,"preheat the oven # part : preheat # to 375 degf. in a large # part : combine # bowl , combine the sugar # part : combine # , flour # part : combine # , cinnamon # part : combine # and nutmeg # part : combine # ; mix # drop : sugar 2.1.8 flour 2.1.10 cinnamon 2.1.12 nutmeg 2.1.14, result : mixture 2.1.16, tool : whisk 2.1.16, habitat : large bowl 2.1.3 # well , . add # drop : mixture 2.1.16, habitat : large bowl 2.1.3 # the apples # part : add # and toss # drop : apples 3.1.3 mixture 2.1.16, habitat : large bowl 2.1.3 # to coat # drop : apples 3.1.3, result : apple mixture 3.1.7, habitat : large bowl 2.1.3 # completely . pour the apple # part : pour # mixture into a 9 # part : pour # inch pie plate . combine # tool : mixer 5.1.1, habitat : bowl 5.1.1 # the butter # part : combine # and vanilla # part : combine # and pour # drop : butter 5.1.3 vanilla 5.1.5, habitat : inch pie plate 4.1.7 # over the apples # part : pour # , cover # habitat : inch pie plate 4.1.7 # the apples # part : pour # with the pie # part : cover # crust . spray the crust # part : spray # with non # part : spray # - stick cooking spray and bake # drop : apple mixture 3.1.7, habitat : oven 1.1.3 # for 50 - 55 minutes . ",1
2114,How many whisks are used?,"preheat the oven # part : preheat # to 375 degf. in a large # part : combine # bowl , combine the sugar # part : combine # , flour # part : combine # , cinnamon # part : combine # and nutmeg # part : combine # ; mix # drop : sugar 2.1.8 flour 2.1.10 cinnamon 2.1.12 nutmeg 2.1.14, result : mixture 2.1.16, tool : whisk 2.1.16, habitat : large bowl 2.1.3 # well , . add # drop : mixture 2.1.16, habitat : large bowl 2.1.3 # the apples # part : add # and toss # drop : apples 3.1.3 mixture 2.1.16, habitat : large bowl 2.1.3 # to coat # drop : apples 3.1.3, result : apple mixture 3.1.7, habitat : large bowl 2.1.3 # completely . pour the apple # part : pour # mixture into a 9 # part : pour # inch pie plate . combine # tool : mixer 5.1.1, habitat : bowl 5.1.1 # the butter # part : combine # and vanilla # part : combine # and pour # drop : butter 5.1.3 vanilla 5.1.5, habitat : inch pie plate 4.1.7 # over the apples # part : pour # , cover # habitat : inch pie plate 4.1.7 # the apples # part : pour # with the pie # part : cover # crust . spray the crust # part : spray # with non # part : spray # - stick cooking spray and bake # drop : apple mixture 3.1.7, habitat : oven 1.1.3 # for 50 - 55 minutes . ",1
2115,How many actions does it take to process the non - stick cooking spray?,"preheat the oven # part : preheat # to 375 degf. in a large # part : combine # bowl , combine the sugar # part : combine # , flour # part : combine # , cinnamon # part : combine # and nutmeg # part : combine # ; mix # drop : sugar 2.1.8 flour 2.1.10 cinnamon 2.1.12 nutmeg 2.1.14, result : mixture 2.1.16, tool : whisk 2.1.16, habitat : large bowl 2.1.3 # well , . add # drop : mixture 2.1.16, habitat : large bowl 2.1.3 # the apples # part : add # and toss # drop : apples 3.1.3 mixture 2.1.16, habitat : large bowl 2.1.3 # to coat # drop : apples 3.1.3, result : apple mixture 3.1.7, habitat : large bowl 2.1.3 # completely . pour the apple # part : pour # mixture into a 9 # part : pour # inch pie plate . combine # tool : mixer 5.1.1, habitat : bowl 5.1.1 # the butter # part : combine # and vanilla # part : combine # and pour # drop : butter 5.1.3 vanilla 5.1.5, habitat : inch pie plate 4.1.7 # over the apples # part : pour # , cover # habitat : inch pie plate 4.1.7 # the apples # part : pour # with the pie # part : cover # crust . spray the crust # part : spray # with non # part : spray # - stick cooking spray and bake # drop : apple mixture 3.1.7, habitat : oven 1.1.3 # for 50 - 55 minutes . ",1
